Method,Parameter_Name,Parameter_Type,Parent,Children,Same_As_Parent,Description,Reference_of_documentation,Used_For,Used_By?,Informal_Propositions,Rules_Name,Rules_Description,Calling_Parameters,Calling_Param_Types,Supertypes,Called_from_x_as,Called_element_from_x
IfcCircle,"[Position, Radius]","[IfcAxis2Placement FIX, IfcPositiveLengthMeasure FIX]",IfcConic,NULL,FALSE,"An IfcCircle is a curve consisting of a set of points having equal distance from the center.",8.9.3.17,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve, IfcConic]","[]","[]"
IfcCompositeCurve,"[Segments, SelfIntersect]","[IfcSegment L[1:?], IfcLogical FIX]",IfcBoundedCurve,"[IfcCompositeCurveOnSurface]",FALSE,"An IfcCompositeCurve is a continuous curve composed of curve segments.",8.9.3.18,,"Constructors","1. The SameSense attribute of each segment correctly specifies the senses of the component curves. When traversed in the direction indicated by SameSense, the segments shall join end-to-end.","[CurveContinuous, SameDim]","[No transition code should be Discontinuous; except for the last code of an open curve., Ensures that all segments used in the curve have the same dimensionality.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve, IfcBoundedCurve]","[UsingCurves]","[Segments ?]"
IfcCompositeCurveOnSurface,"[Segments, SelfIntersect]","[IfcSegment L[1:?], IfcLogical FIX]",IfcCompositeCurve,"[IfcBoundaryCurve]",TRUE,"The IfcCompositeCurveOnSurface is a collection of segments, based on p-curves. i.e. a curve which lies on the basis of a surface and is defined in the parameter space of that surface. The p-curve segment is a special type of a composite curve segment and shall only be used to bound a surface.",8.9.3.19,,"Constructors",NULL,"[SameSurface]","[The BasisSurface shall contain at least one surface (and exactly one surface). This ensures that all segments reference curves on the same surface.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve, IfcBoundedCurve, IfcCompositeCurve]","[]","[]"
IfcCompositeCurveSegment,"[Transition, SameSense, ParentCurve]","[IfcTransitionCode FIX, IfcBoolean FIX, IfcCurve]",IfcGeometricRepresentationItem,"[IfcReparametrisedCompositeCurveSegment]",FALSE,"An IfcCompositeCurveSegment is a bounded curve constructed for the sole purpose to be a segment within an IfcCompositeCurve.",8.9.3.20,,"Constructors",NULL,"[ParentIsBoundedCurve]","[The parent curve shall be a bounded curve.]","[LayerAssignment, StyledByItem, UsingCurves]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1], IfcCompositeCurve @Segments S[1:?]]","[IfcRepresentationItem, IfcGeometricRepresentationItem]","[]","[]"
IfcConic,"[Position]","[IfcAxis2Placement FIX]",IfcCurve,"[IfcCircle, IfcEllipse]",FALSE,"An IfcConic is a parameterized planar curve.",8.9.3.21,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve]","[]","[]"
IfcCurve,"[]","[]",IfcGeometricRepresentationItem,"[IfcBoundedCurve, IfcConic, IfcLine, IfcOffsetCurve2D, IfcOffsetCurve3D, IfcPcurve, IfcSurfaceCurve]",TRUE,"An IfcCurve is a curve in two-dimensional or three-dimensional space. It includes definitions for bounded and unbounded curves.",8.9.3.22,,"Constructors","1. A curve shall be arcwise connected\n 2. A curve shall have an arc length greater than zero.","[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem]","[]","[]"
IfcCurveBoundedPlane,"[BasisSurface, OuterBoundary, InnerBoundaries]","[IfcPlane, IfcCurve, IfcCurve S[0:?]]",IfcBoundedSurface,NULL,FALSE,"The IfcCurveBoundedPlane is a parametric planar surface with curved boundaries defined by one or more boundary curves. The bounded plane is defined to be the portion of the basis surface in the direction of N x T from any point on the boundary, where N is the surface normal and T the boundary curve tangent vector at this point. The region so defined shall be arcwise connected.",8.9.3.23,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface, IfcBoundedSurface]","[]","[]"
IfcCurveBoundedSurface,"[BasisSurface, Boundaries, ImplicitOuter]","[IfcSurface, IfcBoundaryCurve S[1:?], IfcBoolean FIX]",IfcBoundedSurface,NULL,FALSE,"The IfcCurveBoundedSurface is a parametric surface with boundaries defined by p-curves, that is, a curve which lies on the basis of a surface and is defined in the parameter space of that surface. The p-curve is a special type of a composite curve segment and shall only be used to bound a surface.",8.9.3.24,,"Constructors","1. Each curve in the set of Boundaries shall be closed.\n 2. No two curves in the set of Boundaries shall intersect.\n 3. At most one of the boundary curves may enclose any other boundary curve. If an IfcOuterBoundaryCurve is designated, only that curve may enclose any other boundary curve.","[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface, IfcBoundedSurface]","[]","[]"
IfcCylindricalSurface,"[Position, Radius]","[IfcAxis2Placement3D, IfcPositiveLengthMeasure FIX]",IfcElementarySurface,NULL,FALSE,"The cylindrical surface is a surface unbounded in the direction of z. Bounded cylindrical surfaces are defined by using a subtype of IfcBoundedSurface with BasisSurface being a cylindrical surface.",8.9.3.25,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface, IfcElementarySurface]","[]","[]"
IfcDirection,"[DirectionRatios]","[IfcReal L[2:3] FIX]",IfcGeometricRepresentationItem,NULL,FALSE,"The IfcDirection provides a direction in two or three dimensional space depending on the number of DirectionRatio's provided. The IfcDirection does not imply a vector length, and the direction ratios does not have to be normalized.",8.9.3.26,,"Constructors",NULL,"[MagnitudeGreaterZero]","[The magnitude of the direction vector shall be greater than zero.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem]","[]","[]"
IfcElementarySurface,"[Position]","[IfcAxis2Placement3D]",IfcSurface,"[IfcCylindricalSurface, IfcPlane, IfcSphericalSurface, IfcToroidalSurface]",FALSE,"An IfcElementarySurface in the common supertype of analytical surfaces.",8.9.3.27,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface]","[]","[]"
IfcEllipse,"[Position, SemiAxis1, SemiAxis2]","[IfcAxis2Placement FIX, IfcPositiveLengthMeasure FIX, IfcPositiveLengthMeasure FIX]",IfcConic,NULL,FALSE,"An IfcEllipse is a curve consisting of a set of points whose distances to two fixed points add to the same constant.",8.9.3.28,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve, IfcConic]","[]","[]"
IfcGeometricRepresentationItem,"[]","[]",IfcRepresentationItem,"[IfcAnnotationFillArea, IfcBooleanResult, IfcBoundingBox, IfcCartesianPointList, IfcCartesianTransformationOperator, IfcCompositeCurveSegment, IfcCsgPrimitive3D, IfcCurve, IfcDirection, IfcFaceBasedSurfaceModel, IfcFillAreaStyleHatching, IfcFillAreaStyleTiles, IfcGeometricSet, IfcHalfSpaceSolid, IfcLightSource, IfcPlacement, IfcPlanarExtent, IfcPoint, IfcSectionedSpine, IfcShellBasedSurfaceModel, IfcSolidModel, IfcSurface, IfcTessellationItem, IfcTextLiteral, IfcVector]",TRUE,"An IfcGeometricRepresentationItem is the common supertype of all geometric items used within a representation. It is positioned within a geometric coordinate system, directly or indirectly through intervening items.",8.9.3.29,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem]","[]","[]"
IfcIndexedPolyCurve,"[Points, Segments, SelfIntersect]","[IfcCartesianPointList, IfcSegmentIndexSelect L[1:?]? FIX, IfcBoolean ? FIX]",IfcBoundedCurve,NULL,FALSE,"The IfcIndexedPolyCurve is a bounded curve with only linear and circular arc segments defined by a Cartesian point list and an optional list of segments, providing indices into the Cartesian point list. In the case that the list of Segments is not provided, all points in the IfcCartesianPointList are connected by straight line segments in the order they appear in the IfcCartesianPointList.",8.9.3.30,,"Constructors","1. Any two consecutive points of the IfcIndexedPolyCurve shall not be coincident after taking the Precision factor into account, given by the applicable IfcGeometricRepresentationContext.\n 2. The three points of any IfcArcIndex segment of the IfcIndexedPolyCurve shall not be colinear after taking the Precision factor into account, given by the applicable IfcGeometricRepresentationContext.","[Consecutive]","[If a list of indexed segments is provided; they need to be consecutive; meaning that the last index of all - but the last - segments shall be identical with the first index of the next segment.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve, IfcBoundedCurve]","[]","[]"
IfcIntersectionCurve,"[Curve3D, AssociatedGeometry, MasterRepresentation]","[IfcCurve, IfcPcurve L[1:2], IfcPreferredSurfaceCurveRepresentation FIX]",IfcSurfaceCurve,NULL,TRUE,"An IfcIntersectionCurve is a 3-dimensional curve that has two additional representations provided by two pcurves defined within two distinct and intersecting surfaces.",8.9.3.31,,"Constructors",NULL,"[TwoPCurves, DistinctSurfaces]","[The intersection curve shall have precisely two associated geometry elements., The two associated geometry elements shall be related to distinct surfaces. These are the surfaces which define the intersection curve.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve, IfcSurfaceCurve]","[]","[]"
IfcLine,"[Pnt, Dir]","[IfcCartesianPoint, IfcVector]",IfcCurve,NULL,FALSE,"The IfcLine is an unbounded line parameterized by an IfcCartesianPoint and an IfcVector. The magnitude of the IfcVector affects the parameterization of the line, but it does not bound the line.",8.9.3.32,,"Constructors",NULL,"[SameDim]","[The dimensionality of the Pnt - provided by IfcCartesianPoint - shall be the same as the dimensionality of the Dir; provided by IfcVector.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve]","[]","[]"
IfcMappedItem,"[MappingSource, MappingTarget]","[IfcRepresentationMap, IfcCartesianTransformationOperator]",IfcRepresentationItem,NULL,FALSE,"The IfcMappedItem is the inserted instance of a source definition (to be compared with a block / shared cell / macro definition). The instance is inserted by applying a Cartesian transformation operator as the MappingTarget.",8.9.3.33,,"Constructors","1. A mapped item shall not be self-defining by participating in the definition of the representation being mapped.\n 2. The dimensionality of the mapping source and the mapping target has to be the same, if the mapping source is a geometric representation item.","[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem]","[MapUsage]","[MappingSource ?]"
IfcOffsetCurve2D,"[BasisCurve, Distance, SelfIntersect]","[IfcCurve, IfcLengthMeasure FIX, IfcLogical FIX]",IfcCurve,NULL,FALSE,"An IfcOffsetCurve2D is a curve defined by an offset in 2D space from its BasisCurve.",8.9.3.34,,"Constructors",NULL,"[DimIs2D]","[The underlying curve shall be defined in two-dimensional space.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve]","[]","[]"
IfcOffsetCurve3D,"[BasisCurve, Distance, SelfIntersect, RefDirection]","[IfcCurve, IfcLengthMeasure FIX, IfcLogical FIX, IfcDirection]",IfcCurve,NULL,FALSE,"An IfcOffsetCurve3D is a curve defined by an offset in 3D space from its BasisCurve.",8.9.3.35,,"Constructors","1. At no point on the curve shall ref direction be parallel, or opposite to, the direction of the tangent vector.","[DimIs3D]","[The underlying curve shall be defined in three-dimensional space.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve]","[]","[]"
IfcOuterBoundaryCurve,"[Segments, SelfIntersect]","[IfcSegment L[1:?], IfcLogical FIX]",IfcBoundaryCurve,NULL,TRUE,"The IfcOuterBoundaryCurve defines the outer boundary of a bounded surface. This is a special subtype of boundary curve which has the additional semantics of defining an outer boundary of a surface. No more than one such curve shall be included in the set of boundaries of a curve bounded surface.",8.9.3.36,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve, IfcBoundedCurve, IfcCompositeCurve, IfcCompositeCurveOnSurface, IfcBoundaryCurve]","[]","[]"
IfcPcurve,"[BasisSurface, ReferenceCurve]","[IfcSurface, IfcCurve]",IfcCurve,NULL,FALSE,"The IfcPcurve is a curve defined within the parameter space of its reference surface.",8.9.3.37,,"Constructors",NULL,"[DimIs2D]","[The dimensionality of the parameter space curve shall be 2.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve]","[]","[]"
IfcPlacement,"[Location]","[IfcCartesianPoint]",IfcGeometricRepresentationItem,"[IfcAxis1Placement, IfcAxis2Placement2D, IfcAxis2Placement3D]",FALSE,"An IfcPlacement is an abstract supertype of placement subtypes that define the location of an item, or an entire shape representation, and provide its orientation. All placement subtypes define right-handed Cartesian coordinate systems and do not allow mirroring.",8.9.3.38,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem]","[]","[]"
IfcPlane,"[Position]","[IfcAxis2Placement3D]",IfcElementarySurface,NULL,TRUE,"The planar surface is an unbounded surface in the direction of x and y. Bounded planar surfaces are defined by using a subtype of IfcBoundedSurface with BasisSurface being a plane.",8.9.3.39,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface, IfcElementarySurface]","[]","[]"
IfcPoint,"[]","[]",IfcGeometricRepresentationItem,"[IfcCartesianPoint, IfcPointOnCurve, IfcPointOnSurface]",TRUE,"The IfcPoint is the abstract generalisation of all point representations within a Cartesian coordinate system.",8.9.3.40,"Definition of a point","Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem]","[]","[]"
IfcPointOnCurve,"[BasisCurve, PointParameter]","[IfcCurve, IfcParameterValue FIX]",IfcPoint,NULL,FALSE,"The IfcPointOnCurve is a point defined by a parameter value of its defining curve.",8.9.3.41,"Define point on curve","Constructors","1. The value of the point parameter shall not be outside the parametric range of the curve.","[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcPoint]","[]","[]"
IfcPointOnSurface,"[BasisSurface, PointParameterU, PointParameterV]","[IfcSurface, IfcParameterValue FIX, IfcParameterValue FIX]",IfcPoint,NULL,FALSE,"The IfcPointOnSurface is a point defined by two parameter value of its defining surface.",8.9.3.42,"Define point on surface","Constructors","1. The parametric values specified for u and v shall not be outside the parametric range of the basis surface.","[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcPoint]","[]","[]"
IfcPolyline,"[Points]","[IfcCartesianPoint L[2:?]]",IfcBoundedCurve,NULL,FALSE,"The IfcPolyline is a bounded curve with only linear segments defined by a list of Cartesian points. If the first and the last Cartesian point in the list are identical, then the polyline is a closed curve, otherwise it is an open curve.",8.9.3.43,,"Constructors",NULL,"[SameDim]","[The space dimensionality of all Points shall be the same.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve, IfcBoundedCurve]","[]","[]"
IfcRationalBSplineCurveWithKnots,"[Degree, ControlPointsList, CurveForm, ClosedCurve, SelfIntersect, KnotMultiplicities, Knots, KnotSpec, WeightsData]","[IfcInteger FIX, IfcCartesianPoint L[2:?], IfcBSplineCurveForm FIX, IfcLogical FIX, IfcLogical FIX, IfcInteger L[2:?] FIX, IfcParameterValue L[2:?] FIX, IfcKnotType FIX, IfcReal L[2:?] FIX]",IfcBSplineCurveWithKnots,NULL,FALSE,"A rational B-spline curve with knots is a B-spline curve described in terms of control points and basic functions. It describes weights in addition to the control points defined at the supertype IfcBSplineCurve.",8.9.3.44,,"Constructors",NULL,"[SameNumOfWeightsAndPoints, WeightsGreaterZero]","[There shall be the same number of weights as control points., All the weights shall have values greater than 0.0.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve, IfcBoundedCurve, IfcBSplineCurve, IfcBSplineCurveWithKnots]","[]","[]"
IfcRationalBSplineSurfaceWithKnots,"[UDegree, VDegree, ControlPointsList, SurfaceForm, UClosed, VClosed, SelfIntersect, UMultiplicities, VMultiplicities, UKnots, VKnots, KnotSpec, WeightsData]","[IfcInteger FIX, IfcInteger FIX, IfcCartesianPoint L[2:?]L[2:?], IfcBSplineSurfaceForm FIX, IfcLogical FIX, IfcLogical FIX, IfcLogical FIX, IfcInteger L[2:?] FIX, IfcInteger L[2:?] FIX, IfcParameterValue L[2:?] FIX, IfcParameterValue L[2:?] FIX, IfcKnotType FIX, IfcReal L[2:?]L[2:?] FIX]",IfcBsplineSurfaceWithKnots,NULL,FALSE,"A rational B-spline surface with knots is a piecewise parametric rational surface described in terms of control points, and associated weight values.",8.9.3.45,,"Constructors",NULL,"[CorrespondingWeightsDataLists, WeightValuesGreaterZero]","[The array dimensions for the weights shall be consistent with the control points data., The weight value associated with each control point shall be greater than zero.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface, IfcBoundedSurface, IfcBSplineSurface, IfcBSplineSurfaceWithKnots]","[]","[]"
IfcRectangularTrimmedSurface,"[BasisSurface, U1, V1, U2, V2, Usense, Vsense]","[IfcSurface, IfcParameterValue FIX, IfcParameterValue FIX, IfcParameterValue FIX, IfcParameterValue FIX, IfcBoolean FIX, IfcBoolean FIX]",IfcBoundedSurface,NULL,FALSE,"The IfcRectangularTrimmedSurface is a surface created by bounding its BasisSurface along two pairs of parallel curves defined within the parametric space of the referenced surface.",8.9.3.46,,"Constructors","1. The domain of the trimmed surface shall be within the domain of the surface being trimmed.","[U1AndU2Different, V1AndV2Different, UsenseCompatible, VsenseCompatible]","[U1 and U2 shall have different values., V1 and V2 shall have different values., With exception of those surfaces closed in the U parameter; direction Usense shall be compatible with the ordered parameter values for U., Vsense shall be compatible with the ordered parameter values for V.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface, IfcBoundedSurface]","[]","[]"
IfcReparametrisedCompositeCurveSegment,"[Transition, SameSense, ParentCurve, ParamLength]","[IfcTransitionCode FIX, IfcBoolean FIX, IfcCurve, IfcParameterValue FIX]",IfcCompositeCurveSegment,NULL,FALSE,"The IfcReparametrisedCompositeCurveSegment is geometrically identical to a IfcCompositeCurveSegment but with the additional capability of reparametrization.",8.9.3.47,,"Constructors",NULL,"[PositiveLengthParameter]","[The ParamLength shall be greater than zero.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCompositeCurveSegment]","[]","[]"
IfcRepresentationItem,"[]","[]",NULL,"[IfcGeometricRepresentationItem, IfcMappedItem, IfcStyledItem, IfcTopologicalRepresentation]",FALSE,"The IfcRepresentationItem is used within an IfcRepresentation (directly or indirectly through other IfcRepresentationItem's) to represent an IfcProductRepresentation. Most commonly these IfcRepresentationItem's are geometric or topological representation items, that can (but not need to) have presentation style infomation assigned.",8.9.3.48,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[]","[]","[]"
IfcRepresentationMap,"[MappingOrigin, MappedRepresentation]","[IfcAxis2Placement FIX, IfcRepresentation]",NULL,NULL,FALSE,"An IfcRepresentationMap defines the base definition (also referred to as block, cell or macro) called MappedRepresentation within the MappingOrigin. The MappingOrigin defines the coordinate system in which the MappedRepresentation is defined.",8.9.3.49,,"Constructors",NULL,"[ApplicableMappedRepr]","[Only representations of type IfcShapeRepresentation; or IfcTopologyRepresentation are allowed as MappedRepresentation.]","[HasShapeAspects, MapUsage]","[IfcShapeAspect @PartOfProductDefinitionShape S[0:?], IfcMappedItem @MappingSource S[0:?]]","[]","[RepresentationMap]","[MappedRepresentation 1]"
IfcSeamCurve,"[Curve3D, AssociatedGeometry, MasterRepresentation]","[IfcCurve, IfcPcurve L[1:2], IfcPreferredSurfaceCurveRepresentation FIX]",IfcSurfaceCurve,NULL,TRUE,"An IfcSeamCurve is a 3-dimensional curve that has additional representations provided by exactly two distinct pcurves describing the same curve at the two extreme ends of a closed parametric surface.",8.9.3.50,,"Constructors",NULL,"[TwoPCurves, SameSurface]","[The intersection curve shall have precisely two associated geometry elements., The two associated geometries shall be related to the same surface.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve, IfcSurfaceCurve]","[]","[]"
IfcSphericalSurface,"[Position, Radius]","[IfcAxis2Placement3D, IfcPositiveLengthMeasure FIX]",IfcElementarySurface,NULL,FALSE,"The IfcSphericalSurface is a bounded elementary surface.",8.9.3.51,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface, IfcElementarySurface]","[]","[]"
IfcSurface,"[]","[]",IfcGeometricRepresentationItem,"[IfcBoundedSurface, IfcElementarySurface, IfcSweptSurface]",TRUE,"An IfcSurface is a 2-dimensional representation item positioned in 3-dimensional space. 2-dimensional means that each point at the surface can be defined by a 2-dimensional coordinate system, usually by u and v coordinates.",8.9.3.52,,"Constructors","1. A surface has non zero area.\n 2. A surface is arcwise connected.","[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem]","[]","[]"
IfcSurfaceCurve,"[Curve3D, AssociatedGeometry, MasterRepresentation]","[IfcCurve, IfcPcurve L[1:2], IfcPreferredSurfaceCurveRepresentation FIX]",IfcCurve,"[IfcIntersectionCurve, IfcSeamCurve]",FALSE,"An IfcSurfaceCurve is a 3-dimensional curve that has additional representations provided by one or two pcurves.",8.9.3.53,,"Constructors","1. Where Curve3D and one or two pcurves exist they shall represent the same mathematical point set. (i.e., they shall coincide geometrically but may differ in parametrisation.)\n 2. The Curve3D and any associated pcurves shall agree with respect to their senses.","[CurveIs3D, CurveIsNotPcurve]","[The Curve3D shall be defined in three-dimensional space., The Curve3D shall not be a pcurve.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcCurve]","[]","[]"
IfcSurfaceOfLinearExtrusion,"[SweptCurve, Position, ExtrudedDirection, Depth]","[IfcProfileDef, IfcAxis2Placement3D ?, IfcDirection, IfcLengthMeasure FIX]",IfcSweptSurface,NULL,FALSE,"The IfcSurfaceOfLinearExtrusion is a surface derived by sweeping a curve along a vector.",8.9.3.54,,"Constructors","1. The surface shall not self-intersect.","[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface, IfcSweptSurface]","[]","[]"
IfcSurfaceOfRevolution,"[SweptCurve, Position, AxisPosition]","[IfcProfileDef, IfcAxis2Placement3D ?, IfcAxis1Placement]",IfcSweptSurface,NULL,FALSE,"The IfcSurfaceOfRevolution is a surface derived by rotating a curve about an axis.",8.9.3.55,,"Constructors","1. The surface shall not self-intersect.\n 2. The swept curve shall not be coincident with the axis line for any finite part of its legth.","[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface, IfcSweptSurface]","[]","[]"
IfcSweptSurface,"[SweptCurve, Position]","[IfcProfileDef, IfcAxis2Placement3D ?]",IfcSurface,"[NULL]",FALSE,"An IfcSweptSurface is a surface defined by sweeping a curve. The swept surface is defined by a open or closed curve, represented by a subtype if IfcProfileDef, that is provided as a two-dimensional curve on an implicit plane, and by the sweeping operation.",8.9.3.56,,"Constructors",NULL,"[]","[]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface]","[]","[]"
IfcToroidalSurface,"[Position, MajorRadius, MinorRadius]","[IfcAxis2Placement3D, IfcPositiveLengthMeasure FIX, IfcPositiveLengthMeasure FIX]",IfcElementarySurface,NULL,FALSE,"The IfcToroidalSurface is a bounded elementary surface. It is constructed by completely revolving a circle around an axis line.",8.9.3.57,,"Constructors",NULL,"[MajorLargerMinor]","[The attribute value of the MinorRadius shall be smaller then the value of the MajorRadius.]","[LayerAssignment, StyledByItem]","[IfcPresentationLayerAssignment @AssignedItems S[0:1], IfcStyledItem @Item S[0:1]]","[IfcRepresentationItem, IfcGeometricRepresentationItem, IfcSurface, IfcElementarySurface]","[]","[]"
